Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15515    0.023    0.000    0.781    0.000 inspect.py:3081(from_callable)
       14    0.000    0.000    0.000    0.000 dis.py:392(_get_name_info)
       10    0.000    0.000    0.000    0.000 contextlib.py:530(callback)
      476    0.001    0.000    0.001    0.000 weakref.py:68(__call__)
        6    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
       15    0.000    0.000    0.000    0.000 dis.py:671(findlinestarts)
        2    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
       33    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
       31    0.000    0.000    0.000    0.000 __init__.py:383(getMessage)
       31    0.001    0.000    0.002    0.000 __init__.py:462(format)
     4104    0.012    0.000    0.195    0.000 pathlib.py:450(as_posix)
       31    0.000    0.000    0.005    0.000 __init__.py:988(format)
      291    0.000    0.000    0.235    0.001 pathlib.py:1005(open)
     1286    0.001    0.000    0.002    0.000 __init__.py:1517(debug)
       26    0.001    0.000    0.025    0.001 __init__.py:1529(info)
       85    0.000    0.000    0.000    0.000 __init__.py:336(wrapper)
       17    0.000    0.000    0.001    0.000 __init__.py:801(_get_backend_or_none)
      340    0.000    0.000    0.001    0.000 inspect.py:1465(repl)
        3    0.000    0.000    0.000    0.000 inspect.py:1775(currentframe)
      117    0.000    0.000    0.000    0.000 dis.py:195(_deoptop)
        3    0.000    0.000    0.000    0.000 dis.py:380(_get_const_info)
        1    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
        2    0.000    0.000    0.000    0.000 ast.py:403(visit)
       10    0.000    0.000    0.000    0.000 inspect.py:1681(_get_code_position)
      218    0.000    0.000    0.001    0.000 inspect.py:2150(_signature_is_builtin)
      108    0.000    0.000    0.000    0.000 inspect.py:2271(parse_name)
       31    0.001    0.000    0.001    0.000 __init__.py:455(_format)
